<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.RTS,15,20130614,101500,126510.0000000,126650.0000000,126040.0000000,126130.0000000,20155
SPFB.RTS,15,20130614,103000,126140.0000000,126320.0000000,125860.0000000,125920.0000000,18828
SPFB.RTS,15,20130614,104500,125910.0000000,126180.0000000,125700.0000000,126000.0000000,14201
SPFB.RTS,15,20130614,110000,126000.0000000,126090.0000000,125890.0000000,125980.0000000,5405
SPFB.RTS,15,20130614,111500,125980.0000000,125990.0000000,125300.0000000,125600.0000000,13927
SPFB.RTS,15,20130614,113000,125610.0000000,125890.0000000,125410.0000000,125860.0000000,12743
SPFB.RTS,15,20130614,114500,125840.0000000,125850.0000000,125550.0000000,125580.0000000,9095
SPFB.RTS,15,20130614,120000,125580.0000000,125950.0000000,125480.0000000,125940.0000000,10413
SPFB.RTS,15,20130614,121500,125950.0000000,126450.0000000,125910.0000000,126450.0000000,21585
SPFB.RTS,15,20130614,123000,126450.0000000,126590.0000000,126010.0000000,126210.0000000,23674
SPFB.RTS,15,20130614,124500,126230.0000000,126240.0000000,125640.0000000,125800.0000000,21714
SPFB.RTS,15,20130614,130000,125810.0000000,125990.0000000,125710.0000000,125750.0000000,14282
SPFB.RTS,15,20130614,131500,125750.0000000,125980.0000000,125520.0000000,125800.0000000,13749
SPFB.RTS,15,20130614,133000,125800.0000000,125840.0000000,125440.0000000,125830.0000000,15425
SPFB.RTS,15,20130614,134500,125830.0000000,125930.0000000,125650.0000000,125850.0000000,9750
SPFB.RTS,15,20130614,140000,125850.0000000,125920.0000000,125550.0000000,125590.0000000,9416
SPFB.RTS,15,20130614,141500,125620.0000000,125970.0000000,125490.0000000,125970.0000000,11158
SPFB.RTS,15,20130614,143000,125950.0000000,126080.0000000,125790.0000000,125920.0000000,13108
SPFB.RTS,15,20130614,144500,125900.0000000,125930.0000000,125630.0000000,125720.0000000,9851
SPFB.RTS,15,20130614,150000,125700.0000000,125820.0000000,125520.0000000,125600.0000000,8418
SPFB.RTS,15,20130614,151500,125600.0000000,125940.0000000,125550.0000000,125920.0000000,8611
SPFB.RTS,15,20130614,153000,125920.0000000,126940.0000000,125890.0000000,126800.0000000,26995
SPFB.RTS,15,20130614,154500,126800.0000000,126920.0000000,126600.0000000,126790.0000000,14195
SPFB.RTS,15,20130614,160000,126780.0000000,126930.0000000,126600.0000000,126850.0000000,16426
SPFB.RTS,15,20130614,161500,126850.0000000,126860.0000000,126670.0000000,126830.0000000,11305
SPFB.RTS,15,20130614,163000,126830.0000000,127240.0000000,126790.0000000,127100.0000000,23800
SPFB.RTS,15,20130614,164500,127100.0000000,127760.0000000,127060.0000000,127660.0000000,32663
SPFB.RTS,15,20130614,170000,127660.0000000,128140.0000000,127660.0000000,127900.0000000,36212
SPFB.RTS,15,20130614,171500,127890.0000000,127950.0000000,127500.0000000,127590.0000000,21506
SPFB.RTS,15,20130614,173000,127590.0000000,127740.0000000,127010.0000000,127200.0000000,29099
SPFB.RTS,15,20130614,174500,127200.0000000,127560.0000000,127150.0000000,127510.0000000,19418
SPFB.RTS,15,20130614,180000,127510.0000000,127740.0000000,127420.0000000,127730.0000000,13530
SPFB.RTS,15,20130614,181500,127730.0000000,127930.0000000,127610.0000000,127700.0000000,18146
SPFB.RTS,15,20130614,183000,127710.0000000,127800.0000000,127580.0000000,127580.0000000,12305
SPFB.RTS,15,20130614,184500,127580.0000000,127760.0000000,127530.0000000,127660.0000000,16546
SPFB.RTS,15,20130614,191500,127500.0000000,127500.0000000,127030.0000000,127450.0000000,4349
SPFB.RTS,15,20130614,193000,127450.0000000,127450.0000000,127290.0000000,127310.0000000,4883
SPFB.RTS,15,20130614,194500,127310.0000000,127420.0000000,127110.0000000,127230.0000000,4591
SPFB.RTS,15,20130614,200000,127210.0000000,127220.0000000,126870.0000000,127070.0000000,7886
SPFB.RTS,15,20130614,201500,127070.0000000,127130.0000000,126940.0000000,127060.0000000,2681
SPFB.RTS,15,20130614,203000,127060.0000000,127270.0000000,127040.0000000,127200.0000000,2705
SPFB.RTS,15,20130614,204500,127220.0000000,127320.0000000,127090.0000000,127300.0000000,4933
SPFB.RTS,15,20130614,210000,127300.0000000,127380.0000000,126950.0000000,127000.0000000,4159
SPFB.RTS,15,20130614,211500,126980.0000000,127150.0000000,126920.0000000,127130.0000000,2503
SPFB.RTS,15,20130614,213000,127130.0000000,127150.0000000,126700.0000000,126740.0000000,5984
SPFB.RTS,15,20130614,214500,126740.0000000,126940.0000000,126680.0000000,126760.0000000,4696
SPFB.RTS,15,20130614,220000,126760.0000000,126880.0000000,126640.0000000,126840.0000000,3602
SPFB.RTS,15,20130614,221500,126820.0000000,126930.0000000,126680.0000000,126850.0000000,3065
SPFB.RTS,15,20130614,223000,126850.0000000,127220.0000000,126800.0000000,127080.0000000,4563
SPFB.RTS,15,20130614,224500,127070.0000000,127240.0000000,127030.0000000,127100.0000000,2677
SPFB.RTS,15,20130614,230000,127110.0000000,127120.0000000,126850.0000000,126870.0000000,3143
SPFB.RTS,15,20130614,231500,126860.0000000,127060.0000000,126830.0000000,126920.0000000,3294
SPFB.RTS,15,20130614,233000,126950.0000000,127090.0000000,126910.0000000,126950.0000000,2880
SPFB.RTS,15,20130614,234500,126960.0000000,127010.0000000,126850.0000000,126890.0000000,2400
SPFB.RTS,15,20130615,000000,126870.0000000,127000.0000000,126640.0000000,126870.0000000,3086
SPFB.RTS,15,20130617,101500,127020.0000000,128310.0000000,127020.0000000,127940.0000000,34415
SPFB.RTS,15,20130617,103000,127940.0000000,128750.0000000,127590.0000000,128650.0000000,43510
SPFB.RTS,15,20130617,104500,128650.0000000,129400.0000000,128640.0000000,129060.0000000,44918
SPFB.RTS,15,20130617,110000,129050.0000000,129450.0000000,128940.0000000,129170.0000000,29986
SPFB.RTS,15,20130617,111500,129170.0000000,129420.0000000,129050.0000000,129310.0000000,36322
SPFB.RTS,15,20130617,113000,129300.0000000,129330.0000000,129020.0000000,129140.0000000,27607
SPFB.RTS,15,20130617,114500,129140.0000000,129800.0000000,129120.0000000,129540.0000000,46505
SPFB.RTS,15,20130617,120000,129540.0000000,129950.0000000,129540.0000000,129610.0000000,32039
SPFB.RTS,15,20130617,121500,129620.0000000,129840.0000000,129520.0000000,129540.0000000,22434
SPFB.RTS,15,20130617,123000,129540.0000000,129800.0000000,129420.0000000,129600.0000000,20343
SPFB.RTS,15,20130617,124500,129610.0000000,130170.0000000,129350.0000000,129570.0000000,41191
SPFB.RTS,15,20130617,130000,129570.0000000,129880.0000000,129320.0000000,129800.0000000,27085
SPFB.RTS,15,20130617,131500,129800.0000000,130100.0000000,129660.0000000,130070.0000000,23003
SPFB.RTS,15,20130617,133000,130060.0000000,130280.0000000,129680.0000000,129920.0000000,34646
SPFB.RTS,15,20130617,134500,129920.0000000,130200.0000000,129570.0000000,129580.0000000,31240
SPFB.RTS,15,20130617,140000,129570.0000000,129920.0000000,129560.0000000,129810.0000000,21695
SPFB.RTS,15,20130617,141500,129830.0000000,130020.0000000,129700.0000000,129730.0000000,13759
SPFB.RTS,15,20130617,143000,129720.0000000,130370.0000000,129710.0000000,129980.0000000,29475
SPFB.RTS,15,20130617,144500,129970.0000000,130140.0000000,129910.0000000,130030.0000000,11895
SPFB.RTS,15,20130617,150000,130040.0000000,130070.0000000,129820.0000000,130000.0000000,13354
SPFB.RTS,15,20130617,151500,130000.0000000,130610.0000000,129970.0000000,130480.0000000,47076
SPFB.RTS,15,20130617,153000,130480.0000000,130550.0000000,129960.0000000,130170.0000000,38851
SPFB.RTS,15,20130617,154500,130180.0000000,130370.0000000,129980.0000000,130040.0000000,27100
SPFB.RTS,15,20130617,160000,130030.0000000,130120.0000000,129790.0000000,129910.0000000,36029
SPFB.RTS,15,20130617,161500,129900.0000000,130140.0000000,129560.0000000,129590.0000000,28564
SPFB.RTS,15,20130617,163000,129590.0000000,129870.0000000,129440.0000000,129530.0000000,34069
SPFB.RTS,15,20130617,164500,129550.0000000,129840.0000000,129510.0000000,129620.0000000,26918
SPFB.RTS,15,20130617,170000,129620.0000000,129840.0000000,129580.0000000,129830.0000000,18047
SPFB.RTS,15,20130617,171500,129830.0000000,130280.0000000,129820.0000000,130050.0000000,26460
SPFB.RTS,15,20130617,173000,130060.0000000,130210.0000000,129930.0000000,130090.0000000,17433
SPFB.RTS,15,20130617,174500,130090.0000000,130790.0000000,130090.0000000,130490.0000000,67839
SPFB.RTS,15,20130617,180000,130510.0000000,130650.0000000,130280.0000000,130290.0000000,19230
SPFB.RTS,15,20130617,181500,130290.0000000,130360.0000000,129930.0000000,130020.0000000,31165
SPFB.RTS,15,20130617,183000,130020.0000000,130140.0000000,129830.0000000,129950.0000000,25862
SPFB.RTS,15,20130617,184500,129950.0000000,130150.0000000,129850.0000000,130080.0000000,28501
SPFB.RTS,15,20130617,191500,130170.0000000,130400.0000000,130130.0000000,130260.0000000,11072
SPFB.RTS,15,20130617,193000,130270.0000000,130300.0000000,129750.0000000,130100.0000000,18443
