<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.RTS;1;20130711;100100;126200.0000000;129500.0000000;126200.0000000;129320.0000000;42379
SPFB.RTS;1;20130711;100200;129330.0000000;129460.0000000;129240.0000000;129280.0000000;13605
SPFB.RTS;1;20130711;100300;129280.0000000;129290.0000000;129080.0000000;129140.0000000;8533
SPFB.RTS;1;20130711;100400;129130.0000000;129150.0000000;129050.0000000;129120.0000000;6047
SPFB.RTS;1;20130711;100500;129120.0000000;129230.0000000;129100.0000000;129190.0000000;5728
SPFB.RTS;1;20130711;100600;129210.0000000;129350.0000000;129200.0000000;129290.0000000;8404
SPFB.RTS;1;20130711;100700;129300.0000000;129340.0000000;129200.0000000;129220.0000000;5167
SPFB.RTS;1;20130711;100800;129210.0000000;129250.0000000;129160.0000000;129180.0000000;3306
SPFB.RTS;1;20130711;100900;129180.0000000;129200.0000000;129140.0000000;129180.0000000;2585
SPFB.RTS;1;20130711;101000;129190.0000000;129230.0000000;129160.0000000;129200.0000000;4212
SPFB.RTS;1;20130711;101100;129200.0000000;129390.0000000;129190.0000000;129290.0000000;7630
SPFB.RTS;1;20130711;101200;129290.0000000;129690.0000000;129290.0000000;129460.0000000;9977
SPFB.RTS;1;20130711;101300;129460.0000000;129600.0000000;129450.0000000;129480.0000000;8177
SPFB.RTS;1;20130711;101400;129480.0000000;129500.0000000;129350.0000000;129400.0000000;2942
SPFB.RTS;1;20130711;101500;129390.0000000;129430.0000000;129310.0000000;129310.0000000;4163
SPFB.RTS;1;20130711;101600;129330.0000000;129390.0000000;129300.0000000;129310.0000000;3364
SPFB.RTS;1;20130711;101700;129310.0000000;129330.0000000;129290.0000000;129290.0000000;1113
SPFB.RTS;1;20130711;101800;129290.0000000;129350.0000000;129290.0000000;129320.0000000;1617
SPFB.RTS;1;20130711;101900;129330.0000000;129330.0000000;129260.0000000;129290.0000000;2737
SPFB.RTS;1;20130711;102000;129290.0000000;129330.0000000;129270.0000000;129310.0000000;4272
SPFB.RTS;1;20130711;102100;129310.0000000;129420.0000000;129300.0000000;129320.0000000;10094
SPFB.RTS;1;20130711;102200;129320.0000000;129350.0000000;129270.0000000;129310.0000000;4257
SPFB.RTS;1;20130711;102300;129320.0000000;129330.0000000;129270.0000000;129280.0000000;1556
SPFB.RTS;1;20130711;102400;129280.0000000;129330.0000000;129270.0000000;129310.0000000;1504
SPFB.RTS;1;20130711;102500;129310.0000000;129360.0000000;129240.0000000;129310.0000000;5383
SPFB.RTS;1;20130711;102600;129310.0000000;129330.0000000;129220.0000000;129270.0000000;2619
SPFB.RTS;1;20130711;102700;129250.0000000;129290.0000000;129180.0000000;129260.0000000;6646
SPFB.RTS;1;20130711;102800;129270.0000000;129290.0000000;129250.0000000;129250.0000000;838
SPFB.RTS;1;20130711;102900;129250.0000000;129300.0000000;129230.0000000;129230.0000000;1609
SPFB.RTS;1;20130711;103000;129250.0000000;129300.0000000;129240.0000000;129260.0000000;2237
SPFB.RTS;1;20130711;103100;129270.0000000;129290.0000000;129250.0000000;129270.0000000;2264
SPFB.RTS;1;20130711;103200;129270.0000000;129300.0000000;129250.0000000;129270.0000000;2278
SPFB.RTS;1;20130711;103300;129280.0000000;129390.0000000;129260.0000000;129370.0000000;7391
SPFB.RTS;1;20130711;103400;129350.0000000;129530.0000000;129350.0000000;129490.0000000;9677
SPFB.RTS;1;20130711;103500;129490.0000000;129530.0000000;129450.0000000;129470.0000000;4965
SPFB.RTS;1;20130711;103600;129470.0000000;129650.0000000;129460.0000000;129560.0000000;11584
SPFB.RTS;1;20130711;103700;129560.0000000;129650.0000000;129500.0000000;129590.0000000;6499
SPFB.RTS;1;20130711;103800;129600.0000000;129610.0000000;129470.0000000;129550.0000000;3326
SPFB.RTS;1;20130711;103900;129550.0000000;129550.0000000;129450.0000000;129450.0000000;1988
SPFB.RTS;1;20130711;104000;129450.0000000;129500.0000000;129440.0000000;129450.0000000;2172
SPFB.RTS;1;20130711;104100;129450.0000000;129590.0000000;129450.0000000;129570.0000000;2845
SPFB.RTS;1;20130711;104200;129560.0000000;129610.0000000;129540.0000000;129550.0000000;4333
SPFB.RTS;1;20130711;104300;129550.0000000;129660.0000000;129520.0000000;129640.0000000;7952
SPFB.RTS;1;20130711;104400;129630.0000000;129800.0000000;129560.0000000;129770.0000000;8967
SPFB.RTS;1;20130711;104500;129770.0000000;129870.0000000;129740.0000000;129850.0000000;5825
SPFB.RTS;1;20130711;104600;129850.0000000;129880.0000000;129750.0000000;129780.0000000;4050
SPFB.RTS;1;20130711;104700;129790.0000000;129840.0000000;129720.0000000;129730.0000000;2394
SPFB.RTS;1;20130711;104800;129730.0000000;129780.0000000;129720.0000000;129730.0000000;1232
SPFB.RTS;1;20130711;104900;129730.0000000;129760.0000000;129700.0000000;129720.0000000;2143
SPFB.RTS;1;20130711;105000;129720.0000000;129740.0000000;129710.0000000;129720.0000000;390
SPFB.RTS;1;20130711;105100;129720.0000000;129740.0000000;129660.0000000;129680.0000000;2356
SPFB.RTS;1;20130711;105200;129700.0000000;129700.0000000;129610.0000000;129690.0000000;2961
SPFB.RTS;1;20130711;105300;129680.0000000;129700.0000000;129610.0000000;129640.0000000;2824
SPFB.RTS;1;20130711;105400;129660.0000000;129680.0000000;129630.0000000;129640.0000000;1187
SPFB.RTS;1;20130711;105500;129640.0000000;129670.0000000;129600.0000000;129640.0000000;2610
SPFB.RTS;1;20130711;105600;129650.0000000;129710.0000000;129630.0000000;129690.0000000;4788
SPFB.RTS;1;20130711;105700;129680.0000000;129730.0000000;129670.0000000;129710.0000000;3249
SPFB.RTS;1;20130711;105800;129700.0000000;129730.0000000;129670.0000000;129710.0000000;4214
SPFB.RTS;1;20130711;105900;129720.0000000;129740.0000000;129680.0000000;129740.0000000;1591
SPFB.RTS;1;20130711;110000;129730.0000000;129810.0000000;129720.0000000;129790.0000000;4237
SPFB.RTS;1;20130711;110100;129790.0000000;129820.0000000;129700.0000000;129750.0000000;3608
SPFB.RTS;1;20130711;110200;129760.0000000;129770.0000000;129700.0000000;129740.0000000;2651
SPFB.RTS;1;20130711;110300;129720.0000000;129750.0000000;129700.0000000;129700.0000000;1821
SPFB.RTS;1;20130711;110400;129700.0000000;129760.0000000;129630.0000000;129750.0000000;10240
SPFB.RTS;1;20130711;110500;129740.0000000;129800.0000000;129730.0000000;129750.0000000;1444
SPFB.RTS;1;20130711;110600;129740.0000000;129760.0000000;129700.0000000;129730.0000000;1572
SPFB.RTS;1;20130711;110700;129720.0000000;129760.0000000;129700.0000000;129730.0000000;2215
SPFB.RTS;1;20130711;110800;129730.0000000;129760.0000000;129670.0000000;129710.0000000;4945
SPFB.RTS;1;20130711;110900;129730.0000000;129790.0000000;129660.0000000;129660.0000000;4276
SPFB.RTS;1;20130711;111000;129650.0000000;129660.0000000;129530.0000000;129560.0000000;4031
SPFB.RTS;1;20130711;111100;129540.0000000;129590.0000000;129500.0000000;129540.0000000;2364
SPFB.RTS;1;20130711;111200;129540.0000000;129560.0000000;129510.0000000;129530.0000000;905
SPFB.RTS;1;20130711;111300;129540.0000000;129550.0000000;129500.0000000;129520.0000000;748
SPFB.RTS;1;20130711;111400;129510.0000000;129550.0000000;129470.0000000;129510.0000000;2001
SPFB.RTS;1;20130711;111500;129510.0000000;129580.0000000;129500.0000000;129580.0000000;709
SPFB.RTS;1;20130711;111600;129550.0000000;129590.0000000;129460.0000000;129480.0000000;2177
SPFB.RTS;1;20130711;111700;129470.0000000;129500.0000000;129420.0000000;129450.0000000;1788
SPFB.RTS;1;20130711;111800;129460.0000000;129490.0000000;129410.0000000;129460.0000000;1421
SPFB.RTS;1;20130711;111900;129470.0000000;129580.0000000;129460.0000000;129550.0000000;1213
SPFB.RTS;1;20130711;112000;129550.0000000;129590.0000000;129530.0000000;129540.0000000;971
SPFB.RTS;1;20130711;112100;129530.0000000;129550.0000000;129480.0000000;129530.0000000;1472
SPFB.RTS;1;20130711;112200;129530.0000000;129550.0000000;129470.0000000;129490.0000000;825
SPFB.RTS;1;20130711;112300;129480.0000000;129500.0000000;129450.0000000;129480.0000000;948
